Ano;Mês;"UF do Produto";"Valor FOB (US$)"
2002;01;"Santa Catarina";197340547
2001;03;"Santa Catarina";281567648
2001;05;"Santa Catarina";280016558
2001;10;"Santa Catarina";269154725
2001;08;"Santa Catarina";269151010
2001;04;"Santa Catarina";267052855
2001;06;"Santa Catarina";261936420
2001;09;"Santa Catarina";250293503
2001;12;"Santa Catarina";246987342
2001;11;"Santa Catarina";244519933
2001;07;"Santa Catarina";244302606
2001;02;"Santa Catarina";231027578
2001;01;"Santa Catarina";178892614
2000;08;"Santa Catarina";262500828
2000;03;"Santa Catarina";250667453
2000;12;"Santa Catarina";238675431
2000;06;"Santa Catarina";231712811
2000;05;"Santa Catarina";231108559
2000;07;"Santa Catarina";230130568
2000;11;"Santa Catarina";228233222
2000;09;"Santa Catarina";226161068
2000;10;"Santa Catarina";223211901
2000;02;"Santa Catarina";215486765
2000;04;"Santa Catarina";213969892
2000;01;"Santa Catarina";157856916
1999;12;"Santa Catarina";253480784
1999;10;"Santa Catarina";244395937
1999;09;"Santa Catarina";234077229
1999;08;"Santa Catarina";228939471
1999;07;"Santa Catarina";219890748
1999;03;"Santa Catarina";219672479
1999;06;"Santa Catarina";218593331
1999;05;"Santa Catarina";212514615
1999;11;"Santa Catarina";204430918
1999;04;"Santa Catarina";202778381
1999;02;"Santa Catarina";188004474
1999;01;"Santa Catarina";136505805
1998;07;"Santa Catarina";250566694
1998;03;"Santa Catarina";246737867
1998;04;"Santa Catarina";246193301
1998;06;"Santa Catarina";233577164
1998;09;"Santa Catarina";230154056
1998;02;"Santa Catarina";225528434
1998;12;"Santa Catarina";219998604
1998;05;"Santa Catarina";205345754
1998;10;"Santa Catarina";200567332
1998;11;"Santa Catarina";192952469
1998;08;"Santa Catarina";187067800
1998;01;"Santa Catarina";165684704
1997;10;"Santa Catarina";265384280
1997;12;"Santa Catarina";260849396
1997;07;"Santa Catarina";257541692
1997;09;"Santa Catarina";253206579
1997;06;"Santa Catarina";252467002
1997;08;"Santa Catarina";239432861
1997;04;"Santa Catarina";236980049
1997;11;"Santa Catarina";216599654
1997;05;"Santa Catarina";216568020
1997;02;"Santa Catarina";209317899
1997;03;"Santa Catarina";197111632
1997;01;"Santa Catarina";196247243
